row_number,product_id,keyword,method,domain,url,provisional_relevant,confidence_score,confidence_level,needs_human_review,review_status,ai_review_notes,original_observation_notes
24,P038,Google Pixel 9 Pro XL 256 GB fiyat,,akakce.com,"https://www.akakce.com/cep-telefonu/en-ucuz-google-pixel-9-fiyati,520876734.html",false,0.99,high,false,Human-approved after AI-assisted review by project owner on 2026-07-31,Sayfa Pixel 9 içindir; Pro XL modeli değildir.,Human review required; observed methods: agentic_search | selenium_nano_llm | selenium_rule_based; predictions: agentic_search=true@0.9 | selenium_nano_llm=false@0.7 | selenium_rule_based=true@0.85.
25,P038,Google Pixel 9 Pro XL 256 GB fiyat,,akakce.com,"https://www.akakce.com/cep-telefonu/en-ucuz-google-pixel-9-pro-xl-fiyati,663556317.html",false,0.99,high,false,Human-approved after AI-assisted review by project owner on 2026-07-31,Sayfa Pixel 9 Pro XL 512 GB varyantına aittir; kapasite eşleşmiyor.,Human review required; observed methods: agentic_search | selenium_nano_llm | selenium_rule_based; predictions: agentic_search=true@1 | selenium_nano_llm=true@1 | selenium_rule_based=true@0.85.
26,P038,Google Pixel 9 Pro XL 256 GB fiyat,,amazon.com,https://www.amazon.com/Google-Pixel-Pro-XL-Smartphone/dp/B0D7HSJ7ZP,false,0.99,high,false,Human-approved after AI-assisted review by project owner on 2026-07-31,Ürün Pixel 9 Pro XL 128 GB'dir; kapasite eşleşmiyor.,Human review required; observed methods: tavily_llm; predictions: tavily_llm=true@1.
27,P038,Google Pixel 9 Pro XL 256 GB fiyat,,bestbuy.com,https://www.bestbuy.com/product/google-pixel-9-pro-xl-256gb-unlocked-obsidian/J39TC879K3,true,0.99,high,false,Human-approved after AI-assisted review by project owner on 2026-07-31,Doğru model ve 256 GB kapasite için doğrudan mağaza ürün sayfası.,Human review required; observed methods: tavily_llm; predictions: tavily_llm=true@1.
28,P038,Google Pixel 9 Pro XL 256 GB fiyat,,cimri.com,"https://www.cimri.com/cep-telefonlari/en-ucuz-google-pixel-9-pro-xl-fiyatlari,2378987871",false,0.99,high,false,Human-approved after AI-assisted review by project owner on 2026-07-31,Sayfa Pixel 9 Pro XL 512 GB varyantına aittir; kapasite eşleşmiyor.,Human review required; observed methods: agentic_search | selenium_nano_llm | selenium_rule_based; predictions: agentic_search=true@1 | selenium_nano_llm=true@1 | selenium_rule_based=true@0.85.
29,P038,Google Pixel 9 Pro XL 256 GB fiyat,,donanimhaber.com,https://www.donanimhaber.com/amp/google-pixel-9-pro-xl-tanitildi-iste-ozellikleri-ve-fiyati--180676,false,0.99,high,false,Human-approved after AI-assisted review by project owner on 2026-07-31,Tanıtım/haber içeriği; satın alma veya fiyat karşılaştırma sonucu değil.,Human review required; observed methods: tavily_llm; predictions: tavily_llm=true@0.9.
30,P038,Google Pixel 9 Pro XL 256 GB fiyat,,ebay.com,https://www.ebay.com/p/3071466975,true,0.99,high,false,Human-approved after AI-assisted review by project owner on 2026-07-31,Doğru model ve 256 GB kapasite için pazaryeri ürün sayfası.,Human review required; observed methods: tavily_llm; predictions: tavily_llm=true@1.
31,P038,Google Pixel 9 Pro XL 256 GB fiyat,,sahibinden.com,https://www.sahibinden.com/cep-telefonu-aksesuar-cep-telefonu-google-pixel-9-pro-xl,true,0.85,medium,false,Human-approved after AI-assisted review by project owner on 2026-07-31,Model ilan sayfasında Pixel 9 Pro XL 256 GB satış ilanları bulunuyor.,Human review required; observed methods: agentic_search | selenium_nano_llm | selenium_rule_based; predictions: agentic_search=true@1 | selenium_nano_llm=true@1 | selenium_rule_based=true@0.9.
32,P038,Google Pixel 9 Pro XL 256 GB fiyat,,sahibinden.com,https://www.sahibinden.com/cep-telefonu-aksesuar-cep-telefonu-google-pixel-9-pro-xl?a101170=1194860,true,0.99,high,false,Human-approved after AI-assisted review by project owner on 2026-07-31,Model ilan sayfası 256 GB depolama filtresiyle açılıyor.,Human review required; observed methods: agentic_search | selenium_nano_llm | selenium_rule_based; predictions: agentic_search=true@1 | selenium_nano_llm=true@1 | selenium_rule_based=true@0.9.
33,P038,Google Pixel 9 Pro XL 256 GB fiyat,,us.smartprix.com,https://us.smartprix.com/mobiles/google-pixel-9-pro-xl-16gb-ram-256gb-ppd1bmdcowxm,true,0.99,high,false,Human-approved after AI-assisted review by project owner on 2026-07-31,Doğru model ve 256 GB kapasite için fiyat karşılaştırma sayfası.,Human review required; observed methods: tavily_llm; predictions: tavily_llm=true@1.
34,P046,OnePlus 13 256 GB fiyat,,akakce.com,"https://www.akakce.com/cep-telefonu/en-ucuz-oneplus-13-512-gb-siyah-fiyati,1056653089.html",false,0.99,high,false,Human-approved after AI-assisted review by project owner on 2026-07-31,Sayfa 512 GB varyantına aittir; kapasite eşleşmiyor.,Human review required; observed methods: agentic_search | selenium_nano_llm | selenium_rule_based; predictions: agentic_search=true@1 | selenium_nano_llm=true@1 | selenium_rule_based=true@0.85.
35,P046,OnePlus 13 256 GB fiyat,,akakce.com,https://www.akakce.com/cep-telefonu/oneplus.html,false,0.99,high,false,Human-approved after AI-assisted review by project owner on 2026-07-31,Genel OnePlus marka sayfası; hedef model ve kapasiteye özgü değil.,Human review required; observed methods: agentic_search | selenium_nano_llm | selenium_rule_based; predictions: agentic_search=true@0.9 | selenium_nano_llm=true@0.9 | selenium_rule_based=true@0.85.
36,P046,OnePlus 13 256 GB fiyat,,epey.com,https://www.epey.com/akilli-telefonlar/oneplus-13.html,false,0.99,high,false,Human-approved after AI-assisted review by project owner on 2026-07-31,Sayfada seçili/sunulan varyant 512 GB'dir; kapasite eşleşmiyor.,Human review required; observed methods: agentic_search | tavily_llm; predictions: agentic_search=true@0.9 | tavily_llm=true@1.
37,P046,OnePlus 13 256 GB fiyat,,oneplus.com,https://www.oneplus.com/ca_en/oneplus-13,true,0.75,low,true,Human-approved after AI-assisted review by project owner on 2026-07-31,Resmî ürün/store sayfası doğru modeli sunuyor; 256 GB seçeneğinin canlı görünümü insan kontrolüne bırakıldı.,Human review required; observed methods: tavily_llm; predictions: tavily_llm=true@0.7.
38,P046,OnePlus 13 256 GB fiyat,,oneplus.com,https://www.oneplus.com/global/13/specs,false,0.99,high,false,Human-approved after AI-assisted review by project owner on 2026-07-31,Teknik özellik sayfası; satın alma veya fiyat karşılaştırma amacı taşımıyor.,Human review required; observed methods: tavily_llm; predictions: tavily_llm=false@0.1.
39,P046,OnePlus 13 256 GB fiyat,,oneplus.com,https://www.oneplus.com/us/oneplus-13,true,0.85,medium,false,Human-approved after AI-assisted review by project owner on 2026-07-31,Resmî 'Get the new OnePlus 13' mağaza sayfası 256 GB seçeneğini sunuyor.,Human review required; observed methods: tavily_llm; predictions: tavily_llm=true@0.7.
40,P046,OnePlus 13 256 GB fiyat,,sahibinden.com,https://www.sahibinden.com/cep-telefonu-aksesuar-cep-telefonu-oneplus-13,true,0.7,low,true,Human-approved after AI-assisted review by project owner on 2026-07-31,Doğru modelin ilan sayfası; 256 GB ilanının güncel görünümü insan kontrolüne bırakıldı.,Human review required; observed methods: agentic_search | selenium_nano_llm | selenium_rule_based | tavily_llm; predictions: agentic_search=true@1 | selenium_nano_llm=true@1 | selenium_rule_based=true@0.9 | tavily_llm=true@1.
41,P046,OnePlus 13 256 GB fiyat,,sahibinden.com,https://www.sahibinden.com/cep-telefonu-modeller-oneplus-13?a10533=true,true,0.7,low,true,Human-approved after AI-assisted review by project owner on 2026-07-31,Doğru modelin ilan sayfası; 256 GB ilanının güncel görünümü insan kontrolüne bırakıldı.,Human review required; observed methods: agentic_search | selenium_nano_llm | selenium_rule_based; predictions: agentic_search=true@1 | selenium_nano_llm=true@1 | selenium_rule_based=true@0.9.
42,P046,OnePlus 13 256 GB fiyat,,trendyol.com,https://www.trendyol.com/oneplus-x-b110929,false,0.99,high,false,Human-approved after AI-assisted review by project owner on 2026-07-31,Genel OnePlus marka sayfası; hedef model ve kapasiteye özgü değil.,Human review required; observed methods: selenium_nano_llm | selenium_rule_based; predictions: selenium_nano_llm=true@0.9 | selenium_rule_based=true@1.
43,P054,Oppo Find X8 Pro 512 GB fiyat,,akakce.com,"https://www.akakce.com/cep-telefonu/en-ucuz-oppo-finx-x8-fiyati,672653351.html",false,0.95,high,false,Human-approved after AI-assisted review by project owner on 2026-07-31,Sayfa Oppo Find X8 içindir; Pro modeliyle eşleşmiyor.,Human review required; observed methods: agentic_search | selenium_nano_llm | selenium_rule_based; predictions: agentic_search=true@1 | selenium_nano_llm=true@1 | selenium_rule_based=true@0.85.
44,P054,Oppo Find X8 Pro 512 GB fiyat,,ebay.com,https://www.ebay.com/shop/oppo-find-x8-pro?_nkw=oppo+find+x8+pro,true,0.95,high,false,Human-approved after AI-assisted review by project owner on 2026-07-31,Pazaryeri arama sonucunda Oppo Find X8 Pro 512 GB ilanları bulunuyor.,Human review required; observed methods: tavily_llm; predictions: tavily_llm=true@0.9.
45,P054,Oppo Find X8 Pro 512 GB fiyat,,gsmarena.com,https://www.gsmarena.com/oppo_find_x8_pro-13467.php,false,0.99,high,false,Human-approved after AI-assisted review by project owner on 2026-07-31,Teknik özellik sayfası; satın alma veya fiyat karşılaştırma amacı taşımıyor.,Human review required; observed methods: tavily_llm; predictions: tavily_llm=false@0.4.
46,P054,Oppo Find X8 Pro 512 GB fiyat,,letgo.com,https://www.letgo.com/item/oppo-find-x8-pro-16-12-ram---512-gb-iid-1729494706,true,0.99,high,false,Human-approved after AI-assisted review by project owner on 2026-07-31,Doğru model ve 512 GB kapasite için doğrudan satış ilanı.,Human review required; observed methods: agentic_search | selenium_nano_llm | selenium_rule_based; predictions: agentic_search=true@1 | selenium_nano_llm=true@1 | selenium_rule_based=false@0.
47,P054,Oppo Find X8 Pro 512 GB fiyat,,mobileinto.com,https://mobileinto.com/tr/Oppo-Find-X8-Pro/,false,0.9,medium,false,Human-approved after AI-assisted review by project owner on 2026-07-31,"Bilgi/özellik sayfası; doğrudan mağaza, ilan veya fiyat karşılaştırma sonucu değil.",Human review required; observed methods: agentic_search | selenium_nano_llm | selenium_rule_based; predictions: agentic_search=true@0.9 | selenium_nano_llm=true@0.9 | selenium_rule_based=false@0.
48,P054,Oppo Find X8 Pro 512 GB fiyat,,oppo.com,https://www.oppo.com/en/smartphones/series-find-x/find-x8-pro,false,0.95,high,false,Human-approved after AI-assisted review by project owner on 2026-07-31,Resmî tanıtım sayfası; satın alma veya fiyat karşılaştırma bağlamı görünmüyor.,Human review required; observed methods: tavily_llm; predictions: tavily_llm=true@0.8.
49,P054,Oppo Find X8 Pro 512 GB fiyat,,sahibinden.com,https://www.sahibinden.com/cep-telefonu-aksesuar-cep-telefonu-oppo-find-x8-pro,true,0.8,low,true,Human-approved after AI-assisted review by project owner on 2026-07-31,Doğru modelin ilan sayfası; 512 GB ilanının güncel görünümü insan kontrolüne bırakıldı.,Human review required; observed methods: agentic_search | selenium_nano_llm | selenium_rule_based | tavily_llm; predictions: agentic_search=true@1 | selenium_nano_llm=true@1 | selenium_rule_based=true@0.9 | tavily_llm=true@1.
50,P054,Oppo Find X8 Pro 512 GB fiyat,,sahibinden.com,https://www.sahibinden.com/cep-telefonu-aksesuar-cep-telefonu-oppo-find-x8-pro?a101170=1216421,true,0.99,high,false,Human-approved after AI-assisted review by project owner on 2026-07-31,Model ilan sayfası 512 GB depolama filtresiyle açılıyor.,Human review required; observed methods: agentic_search | selenium_nano_llm | selenium_rule_based; predictions: agentic_search=true@1 | selenium_nano_llm=true@1 | selenium_rule_based=true@0.9.
51,P054,Oppo Find X8 Pro 512 GB fiyat,,youtube.com,https://www.youtube.com/watch?v=SnaQNVV4PIs,false,0.99,high,false,Human-approved after AI-assisted review by project owner on 2026-07-31,"Video içeriği; satın alma, ilan veya fiyat karşılaştırma sonucu değil.",Human review required; observed methods: tavily_llm; predictions: tavily_llm=false@0.3.
52,P064,Vivo X200 Pro 512 GB fiyat,,cimri.com,"https://www.cimri.com/cep-telefonlari/en-ucuz-vivo-x200-pro-fiyatlari,a2397764923",true,0.99,high,false,Human-approved after AI-assisted review by project owner on 2026-07-31,Doğru model ve 512 GB kapasite için fiyat karşılaştırma sayfası.,Human review required; observed methods: agentic_search | selenium_nano_llm | selenium_rule_based; predictions: agentic_search=true@1 | selenium_nano_llm=true@1 | selenium_rule_based=true@0.85.
53,P064,Vivo X200 Pro 512 GB fiyat,,epey.com,https://www.epey.com/akilli-telefonlar/vivo-x200-pro.html,true,0.99,high,false,Human-approved after AI-assisted review by project owner on 2026-07-31,Doğru modelin 512 GB varyantı için fiyat ve mağaza teklifleri içeriyor.,Human review required; observed methods: agentic_search | selenium_nano_llm | selenium_rule_based; predictions: agentic_search=true@1 | selenium_nano_llm=true@1 | selenium_rule_based=false@0.
54,P064,Vivo X200 Pro 512 GB fiyat,,flipkart.com,https://www.flipkart.com/vivo-x200-pro-5g-titanium-grey-512-gb/p/itm1e8383eef06a4,true,0.99,high,false,Human-approved after AI-assisted review by project owner on 2026-07-31,Doğru model ve 512 GB kapasite için doğrudan mağaza ürün sayfası.,Human review required; observed methods: tavily_llm; predictions: tavily_llm=true@1.
55,P064,Vivo X200 Pro 512 GB fiyat,,hepsiburada.com,https://www.hepsiburada.com/vivo-x200-pro-512-gb-16gb-ram-akilli-telefon-titanyum-gri-vivo-turkiye-garantili-pm-HBC00007MWSGG,true,0.99,high,false,Human-approved after AI-assisted review by project owner on 2026-07-31,Doğru model ve 512 GB kapasite için doğrudan mağaza ürün sayfası.,Human review required; observed methods: agentic_search | selenium_nano_llm | selenium_rule_based | tavily_llm; predictions: agentic_search=true@1 | selenium_nano_llm=true@1 | selenium_rule_based=true@1 | tavily_llm=true@1.
56,P064,Vivo X200 Pro 512 GB fiyat,,sahibinden.com,https://www.sahibinden.com/cep-telefonu-aksesuar-cep-telefonu-vivo-x200-pro,true,0.85,medium,false,Human-approved after AI-assisted review by project owner on 2026-07-31,Model ilan sayfasında Vivo X200 Pro 512 GB satış ilanları bulunuyor.,Human review required; observed methods: tavily_llm; predictions: tavily_llm=true@1.
57,P064,Vivo X200 Pro 512 GB fiyat,,sahibinden.com,https://www.sahibinden.com/ilan/ikinci-el-ve-sifir-alisveris-cep-telefonu-aksesuar-cep-telefonu-erdaliletisim-vivo-200-pro-512-gb-16-ram-12-ay-garantili-kutu-yo-1330403790/detay,true,0.99,high,false,Human-approved after AI-assisted review by project owner on 2026-07-31,İlan başlığı ve URL doğru model ailesini ve 512 GB kapasiteyi belirtiyor.,Human review required; observed methods: agentic_search | selenium_nano_llm | selenium_rule_based; predictions: agentic_search=true@1 | selenium_nano_llm=true@1 | selenium_rule_based=true@0.9.
58,P064,Vivo X200 Pro 512 GB fiyat,,trendyol.com,https://www.trendyol.com/vivo/x200-pro-16-512gb-akilli-telefon-titanyum-gri-p-895987838,true,0.99,high,false,Human-approved after AI-assisted review by project owner on 2026-07-31,Doğru model ve 512 GB kapasite için doğrudan ürün sayfası.,Human review required; observed methods: agentic_search | selenium_nano_llm | selenium_rule_based | tavily_llm; predictions: agentic_search=true@1 | selenium_nano_llm=true@1 | selenium_rule_based=true@1 | tavily_llm=true@1.
59,P064,Vivo X200 Pro 512 GB fiyat,,youtube.com,https://www.youtube.com/watch?v=oF1KKiBwZio,false,0.99,high,false,Human-approved after AI-assisted review by project owner on 2026-07-31,"Video içeriği; satın alma, ilan veya fiyat karşılaştırma sonucu değil.",Human review required; observed methods: tavily_llm; predictions: tavily_llm=false@0.
60,P074,Realme GT 7 Pro 256 GB fiyat,,akakce.com,"https://www.akakce.com/cep-telefonu/en-ucuz-realme-gt-7-pro-fiyati,684475765.html",false,0.99,high,false,Human-approved after AI-assisted review by project owner on 2026-07-31,Sayfa 512 GB varyantına aittir; kapasite eşleşmiyor.,Human review required; observed methods: agentic_search | selenium_nano_llm | selenium_rule_based; predictions: agentic_search=true@1 | selenium_nano_llm=true@1 | selenium_rule_based=true@0.85.
61,P074,Realme GT 7 Pro 256 GB fiyat,,amazon.com,https://www.amazon.com/Realme-Dual-SIM-Factory-Unlocked-Smartphone/dp/B0FBX6GGBQ,false,0.99,high,false,Human-approved after AI-assisted review by project owner on 2026-07-31,Ürün Realme GT 7 256 GB'dir; Pro modeli değildir.,Human review required; observed methods: tavily_llm; predictions: tavily_llm=true@0.95.
62,P074,Realme GT 7 Pro 256 GB fiyat,,cimri.com,"https://www.cimri.com/cep-telefonlari/en-ucuz-realme-gt7-pro-fiyatlari,a2404593275",false,0.99,high,false,Human-approved after AI-assisted review by project owner on 2026-07-31,Sayfa Realme GT 7 Pro 512 GB varyantına aittir; kapasite eşleşmiyor.,Human review required; observed methods: agentic_search | selenium_nano_llm | selenium_rule_based; predictions: agentic_search=true@1 | selenium_nano_llm=true@1 | selenium_rule_based=true@0.85.
63,P074,Realme GT 7 Pro 256 GB fiyat,,ebay.com,https://www.ebay.com/shop/realme-gt7-pro?_nkw=realme+gt7+pro,true,0.99,high,false,Human-approved after AI-assisted review by project owner on 2026-07-31,Pazaryeri aramasında Realme GT 7 Pro 256 GB satış ilanları bulunuyor.,Human review required; observed methods: tavily_llm; predictions: tavily_llm=true@0.9.
64,P074,Realme GT 7 Pro 256 GB fiyat,,epey.com,https://www.epey.com/akilli-telefonlar/realme-gt-7-pro.html,false,0.99,high,false,Human-approved after AI-assisted review by project owner on 2026-07-31,Sayfada sunulan varyant 512 GB'dir; kapasite eşleşmiyor.,Human review required; observed methods: agentic_search | selenium_nano_llm | selenium_rule_based; predictions: agentic_search=true@1 | selenium_nano_llm=true@1 | selenium_rule_based=false@0.
