row_number,product_id,keyword,method,domain,url,human_relevant,original_human_decision,human_note,adjudication_required,adjudication_basis,review_status,decision_source
23,P026,Xiaomi 15 Ultra 512 GB fiyat,,trendyol.com,https://www.trendyol.com/xiaomi/15-ultra-512-gb-siyah-xiaomi-turkiye-garantili-p-903855197,true,TRUE,,false,Not required; the project owner recorded an exact TRUE/FALSE decision.,Individually reviewed by project owner on 2026-07-31; final decision recorded directly.,project_owner
24,P038,Google Pixel 9 Pro XL 256 GB fiyat,,akakce.com,"https://www.akakce.com/cep-telefonu/en-ucuz-google-pixel-9-fiyati,520876734.html",false,TRUE?,"doğru urun ama yazan şu : Fiyat bulunamadı
Alarm kur, fiyat eklendiğinde anında bildirelim.",true,"The page is for Google Pixel 9, not Pixel 9 Pro XL 256 GB.",Individually reviewed by project owner on 2026-07-31; uncertainty adjudicated against the frozen relevance rule.,project_owner_review_with_rule_based_adjudication
25,P038,Google Pixel 9 Pro XL 256 GB fiyat,,akakce.com,"https://www.akakce.com/cep-telefonu/en-ucuz-google-pixel-9-pro-xl-fiyati,663556317.html",false,True?,"doğru urun ama yazan şu : Fiyat bulunamadı
Alarm kur, fiyat eklendiğinde anında bildirelim.",true,"The page identifies the 512 GB variant, so the requested 256 GB capacity does not match.",Individually reviewed by project owner on 2026-07-31; uncertainty adjudicated against the frozen relevance rule.,project_owner_review_with_rule_based_adjudication
26,P038,Google Pixel 9 Pro XL 256 GB fiyat,,amazon.com,https://www.amazon.com/Google-Pixel-Pro-XL-Smartphone/dp/B0D7HSJ7ZP,true,TRUE,doğru ürün ama 128 gblık model,false,Not required; the project owner recorded an exact TRUE/FALSE decision.,Individually reviewed by project owner on 2026-07-31; final decision recorded directly.,project_owner
27,P038,Google Pixel 9 Pro XL 256 GB fiyat,,bestbuy.com,https://www.bestbuy.com/product/google-pixel-9-pro-xl-256gb-unlocked-obsidian/J39TC879K3,true,TRUE,,false,Not required; the project owner recorded an exact TRUE/FALSE decision.,Individually reviewed by project owner on 2026-07-31; final decision recorded directly.,project_owner
28,P038,Google Pixel 9 Pro XL 256 GB fiyat,,cimri.com,"https://www.cimri.com/cep-telefonlari/en-ucuz-google-pixel-9-pro-xl-fiyatlari,2378987871",false,True?,"Pixel 9 Pro XL 512GB 16GB Ram
Bu ürünün satışını yapan mağaza bulunmamaktadır.

Bu ürüne benzer ürünleri incelemek için tıklayın
Son güncellenen fiyat (26 Kasım 2025): 62.221,66 TL",true,"The price-comparison page identifies the 512 GB variant, so the requested 256 GB capacity does not match.",Individually reviewed by project owner on 2026-07-31; uncertainty adjudicated against the frozen relevance rule.,project_owner_review_with_rule_based_adjudication
29,P038,Google Pixel 9 Pro XL 256 GB fiyat,,donanimhaber.com,https://www.donanimhaber.com/amp/google-pixel-9-pro-xl-tanitildi-iste-ozellikleri-ve-fiyati--180676,false,FALSE?,ÜRÜN DOĞRU MODEL ÖZELLİKLER ANCAK SATIŞ YERİ LİNKİNDEN ZİYADE TANITIMINI YAPIYOR,true,"This is a product announcement/news article, not a transactional result.",Individually reviewed by project owner on 2026-07-31; uncertainty adjudicated against the frozen relevance rule.,project_owner_review_with_rule_based_adjudication
30,P038,Google Pixel 9 Pro XL 256 GB fiyat,,ebay.com,https://www.ebay.com/p/3071466975,true,TRUE,,false,Not required; the project owner recorded an exact TRUE/FALSE decision.,Individually reviewed by project owner on 2026-07-31; final decision recorded directly.,project_owner
31,P038,Google Pixel 9 Pro XL 256 GB fiyat,,sahibinden.com,https://www.sahibinden.com/cep-telefonu-aksesuar-cep-telefonu-google-pixel-9-pro-xl,true,TRUE,,false,Not required; the project owner recorded an exact TRUE/FALSE decision.,Individually reviewed by project owner on 2026-07-31; final decision recorded directly.,project_owner
32,P038,Google Pixel 9 Pro XL 256 GB fiyat,,sahibinden.com,https://www.sahibinden.com/cep-telefonu-aksesuar-cep-telefonu-google-pixel-9-pro-xl?a101170=1194860,true,TRUE,,false,Not required; the project owner recorded an exact TRUE/FALSE decision.,Individually reviewed by project owner on 2026-07-31; final decision recorded directly.,project_owner
33,P038,Google Pixel 9 Pro XL 256 GB fiyat,,us.smartprix.com,https://us.smartprix.com/mobiles/google-pixel-9-pro-xl-16gb-ram-256gb-ppd1bmdcowxm,true,TRUE,,false,Not required; the project owner recorded an exact TRUE/FALSE decision.,Individually reviewed by project owner on 2026-07-31; final decision recorded directly.,project_owner
34,P046,OnePlus 13 256 GB fiyat,,akakce.com,"https://www.akakce.com/cep-telefonu/en-ucuz-oneplus-13-512-gb-siyah-fiyati,1056653089.html",false,TRUE?,"Fiyat bulunamadı
Alarm kur, fiyat eklendiğinde anında bildirelim.",true,"The page is for OnePlus 13 512 GB, not the requested 256 GB variant.",Individually reviewed by project owner on 2026-07-31; uncertainty adjudicated against the frozen relevance rule.,project_owner_review_with_rule_based_adjudication
35,P046,OnePlus 13 256 GB fiyat,,akakce.com,https://www.akakce.com/cep-telefonu/oneplus.html,false,FALSE?,"ONE PLUS 13 MODELİ LİSTELENMİYOR,15 13 11 GİBİ SERİLERİN FİYAT BİLGİSİ VAR",true,This is a general OnePlus brand page and does not establish the requested model and capacity.,Individually reviewed by project owner on 2026-07-31; uncertainty adjudicated against the frozen relevance rule.,project_owner_review_with_rule_based_adjudication
36,P046,OnePlus 13 256 GB fiyat,,epey.com,https://www.epey.com/akilli-telefonlar/oneplus-13.html,false,TRUE?,DOĞRU ÜRÜN AMA : Fiyat bilgisi bulunamadı,true,The page's selected product variant is 512 GB; the requested 256 GB capacity is not the listed result.,Individually reviewed by project owner on 2026-07-31; uncertainty adjudicated against the frozen relevance rule.,project_owner_review_with_rule_based_adjudication
37,P046,OnePlus 13 256 GB fiyat,,oneplus.com,https://www.oneplus.com/ca_en/oneplus-13,true,TRUE,,false,Not required; the project owner recorded an exact TRUE/FALSE decision.,Individually reviewed by project owner on 2026-07-31; final decision recorded directly.,project_owner
38,P046,OnePlus 13 256 GB fiyat,,oneplus.com,https://www.oneplus.com/global/13/specs,false,true?,"doğru urun ama out of stock,fiyat göremedim",true,"This is a technical specifications page rather than a store, listing, or price-comparison result.",Individually reviewed by project owner on 2026-07-31; uncertainty adjudicated against the frozen relevance rule.,project_owner_review_with_rule_based_adjudication
39,P046,OnePlus 13 256 GB fiyat,,oneplus.com,https://www.oneplus.com/us/oneplus-13,true,TRUE,,false,Not required; the project owner recorded an exact TRUE/FALSE decision.,Individually reviewed by project owner on 2026-07-31; final decision recorded directly.,project_owner
40,P046,OnePlus 13 256 GB fiyat,,sahibinden.com,https://www.sahibinden.com/cep-telefonu-aksesuar-cep-telefonu-oneplus-13,true,TRUE,"doğru ancak specs ler tam tutmuyor ,depolamada 512 gb lık seçenekler de var",false,Not required; the project owner recorded an exact TRUE/FALSE decision.,Individually reviewed by project owner on 2026-07-31; final decision recorded directly.,project_owner
41,P046,OnePlus 13 256 GB fiyat,,sahibinden.com,https://www.sahibinden.com/cep-telefonu-modeller-oneplus-13?a10533=true,true,TRUE,"doğru ancak specs ler tam tutmuyor ,depolamada 512 gb lık seçenekler de var",false,Not required; the project owner recorded an exact TRUE/FALSE decision.,Individually reviewed by project owner on 2026-07-31; final decision recorded directly.,project_owner
42,P046,OnePlus 13 256 GB fiyat,,trendyol.com,https://www.trendyol.com/oneplus-x-b110929,false,FALSE,"ONE PLUS 13 MODELİ LİSTELENMİYOR,15 13 11 GİBİ SERİLERİN FİYAT BİLGİSİ VAR",false,Not required; the project owner recorded an exact TRUE/FALSE decision.,Individually reviewed by project owner on 2026-07-31; final decision recorded directly.,project_owner
43,P054,Oppo Find X8 Pro 512 GB fiyat,,akakce.com,"https://www.akakce.com/cep-telefonu/en-ucuz-oppo-finx-x8-fiyati,672653351.html",false,true?,ürün doğru model ama stokta yok,true,"The page is for Oppo Find X8, not Oppo Find X8 Pro 512 GB.",Individually reviewed by project owner on 2026-07-31; uncertainty adjudicated against the frozen relevance rule.,project_owner_review_with_rule_based_adjudication
44,P054,Oppo Find X8 Pro 512 GB fiyat,,ebay.com,https://www.ebay.com/shop/oppo-find-x8-pro?_nkw=oppo+find+x8+pro,true,TRUE,,false,Not required; the project owner recorded an exact TRUE/FALSE decision.,Individually reviewed by project owner on 2026-07-31; final decision recorded directly.,project_owner
45,P054,Oppo Find X8 Pro 512 GB fiyat,,gsmarena.com,https://www.gsmarena.com/oppo_find_x8_pro-13467.php,true,TRUE,,false,Not required; the project owner recorded an exact TRUE/FALSE decision.,Individually reviewed by project owner on 2026-07-31; final decision recorded directly.,project_owner
46,P054,Oppo Find X8 Pro 512 GB fiyat,,letgo.com,https://www.letgo.com/item/oppo-find-x8-pro-16-12-ram---512-gb-iid-1729494706,false,FALSE,,false,Not required; the project owner recorded an exact TRUE/FALSE decision.,Individually reviewed by project owner on 2026-07-31; final decision recorded directly.,project_owner
47,P054,Oppo Find X8 Pro 512 GB fiyat,,mobileinto.com,https://mobileinto.com/tr/Oppo-Find-X8-Pro/,false,False?,"ürünün modeli vs doğru ama expected price yazıyor,tahmini fiyatlar verilmiş herhangi bir  yönlendirme linki vs yok",true,"The page provides an expected price only and no transactional store, listing, or price-comparison offer.",Individually reviewed by project owner on 2026-07-31; uncertainty adjudicated against the frozen relevance rule.,project_owner_review_with_rule_based_adjudication
48,P054,Oppo Find X8 Pro 512 GB fiyat,,oppo.com,https://www.oppo.com/en/smartphones/series-find-x/find-x8-pro,false,False?,"opponun kendi sitesi,specs ler yazıyor ama fiyat bilgisi yada başka mağazaya yönlendirme linki bulamadım",true,"The official page is informational and does not provide a purchase, listing, or price-comparison context.",Individually reviewed by project owner on 2026-07-31; uncertainty adjudicated against the frozen relevance rule.,project_owner_review_with_rule_based_adjudication
49,P054,Oppo Find X8 Pro 512 GB fiyat,,sahibinden.com,https://www.sahibinden.com/cep-telefonu-aksesuar-cep-telefonu-oppo-find-x8-pro,true,TRUE,"İLK İKİ LİSTELEME DOĞRU MODEL İÇİN,ANCAK ALTTAKİ İKİNCİ ELLER X9 MODELİ İÇİN",false,Not required; the project owner recorded an exact TRUE/FALSE decision.,Individually reviewed by project owner on 2026-07-31; final decision recorded directly.,project_owner
50,P054,Oppo Find X8 Pro 512 GB fiyat,,sahibinden.com,https://www.sahibinden.com/cep-telefonu-aksesuar-cep-telefonu-oppo-find-x8-pro?a101170=1216421,true,TRUE,"İLK İKİ LİSTELEME DOĞRU MODEL İÇİN,ANCAK ALTTAKİ İKİNCİ ELLER X9 MODELİ İÇİN",false,Not required; the project owner recorded an exact TRUE/FALSE decision.,Individually reviewed by project owner on 2026-07-31; final decision recorded directly.,project_owner
51,P054,Oppo Find X8 Pro 512 GB fiyat,,youtube.com,https://www.youtube.com/watch?v=SnaQNVV4PIs,false,FALSE?,ÜRÜNÜN ÖZELLİKLERİNİ ANLATAN YOUTUBE VİDEOSU,true,"The YouTube video is an informational review, not a transactional result.",Individually reviewed by project owner on 2026-07-31; uncertainty adjudicated against the frozen relevance rule.,project_owner_review_with_rule_based_adjudication
52,P064,Vivo X200 Pro 512 GB fiyat,,cimri.com,"https://www.cimri.com/cep-telefonlari/en-ucuz-vivo-x200-pro-fiyatlari,a2397764923",true,TRUE,,false,Not required; the project owner recorded an exact TRUE/FALSE decision.,Individually reviewed by project owner on 2026-07-31; final decision recorded directly.,project_owner
53,P064,Vivo X200 Pro 512 GB fiyat,,epey.com,https://www.epey.com/akilli-telefonlar/vivo-x200-pro.html,true,TRUE,,false,Not required; the project owner recorded an exact TRUE/FALSE decision.,Individually reviewed by project owner on 2026-07-31; final decision recorded directly.,project_owner
54,P064,Vivo X200 Pro 512 GB fiyat,,flipkart.com,https://www.flipkart.com/vivo-x200-pro-5g-titanium-grey-512-gb/p/itm1e8383eef06a4,true,TRUE,,false,Not required; the project owner recorded an exact TRUE/FALSE decision.,Individually reviewed by project owner on 2026-07-31; final decision recorded directly.,project_owner
55,P064,Vivo X200 Pro 512 GB fiyat,,hepsiburada.com,https://www.hepsiburada.com/vivo-x200-pro-512-gb-16gb-ram-akilli-telefon-titanyum-gri-vivo-turkiye-garantili-pm-HBC00007MWSGG,true,TRUE,,false,Not required; the project owner recorded an exact TRUE/FALSE decision.,Individually reviewed by project owner on 2026-07-31; final decision recorded directly.,project_owner
56,P064,Vivo X200 Pro 512 GB fiyat,,sahibinden.com,https://www.sahibinden.com/cep-telefonu-aksesuar-cep-telefonu-vivo-x200-pro,true,TRUE,DİĞER SAHİBİNDEN LİSTELEMELERİNE GÖRE DAHA TUTARLI DAHA COK İSTENİLEN MODEL İÇİN ÜRÜNLER SIRALANIYOR,false,Not required; the project owner recorded an exact TRUE/FALSE decision.,Individually reviewed by project owner on 2026-07-31; final decision recorded directly.,project_owner
57,P064,Vivo X200 Pro 512 GB fiyat,,sahibinden.com,https://www.sahibinden.com/ilan/ikinci-el-ve-sifir-alisveris-cep-telefonu-aksesuar-cep-telefonu-erdaliletisim-vivo-200-pro-512-gb-16-ram-12-ay-garantili-kutu-yo-1330403790/detay,true,TRUE,NOKTA ATIŞI DOĞRU URUNUN TEKLİ İLANI,false,Not required; the project owner recorded an exact TRUE/FALSE decision.,Individually reviewed by project owner on 2026-07-31; final decision recorded directly.,project_owner
58,P064,Vivo X200 Pro 512 GB fiyat,,trendyol.com,https://www.trendyol.com/vivo/x200-pro-16-512gb-akilli-telefon-titanyum-gri-p-895987838,true,TRUE,,false,Not required; the project owner recorded an exact TRUE/FALSE decision.,Individually reviewed by project owner on 2026-07-31; final decision recorded directly.,project_owner
59,P064,Vivo X200 Pro 512 GB fiyat,,youtube.com,https://www.youtube.com/watch?v=oF1KKiBwZio,false,FALSE?,ÜRÜN SİTESİNDEN ZİYADE ÜRÜNÜN ÖZELLİKLERİNİ AÇIKLAYAN YT VİDEOSU,true,"The YouTube video is an informational review, not a transactional result.",Individually reviewed by project owner on 2026-07-31; uncertainty adjudicated against the frozen relevance rule.,project_owner_review_with_rule_based_adjudication
60,P074,Realme GT 7 Pro 256 GB fiyat,,akakce.com,"https://www.akakce.com/cep-telefonu/en-ucuz-realme-gt-7-pro-fiyati,684475765.html",false,TRUE?,ÜRÜN MODELİ DOĞRU AMA 256 GB DEĞİL 512 GB,true,"The listed product is the 512 GB variant, not the requested 256 GB variant.",Individually reviewed by project owner on 2026-07-31; uncertainty adjudicated against the frozen relevance rule.,project_owner_review_with_rule_based_adjudication
61,P074,Realme GT 7 Pro 256 GB fiyat,,amazon.com,https://www.amazon.com/Realme-Dual-SIM-Factory-Unlocked-Smartphone/dp/B0FBX6GGBQ,true,TRUE,,false,Not required; the project owner recorded an exact TRUE/FALSE decision.,Individually reviewed by project owner on 2026-07-31; final decision recorded directly.,project_owner
62,P074,Realme GT 7 Pro 256 GB fiyat,,cimri.com,"https://www.cimri.com/cep-telefonlari/en-ucuz-realme-gt7-pro-fiyatlari,a2404593275",false,TRUE?,ÜRÜN MODELİ DOĞRU AMA 256 GB DEĞİL 512 GB,true,"The listed product is the 512 GB variant, not the requested 256 GB variant.",Individually reviewed by project owner on 2026-07-31; uncertainty adjudicated against the frozen relevance rule.,project_owner_review_with_rule_based_adjudication
63,P074,Realme GT 7 Pro 256 GB fiyat,,ebay.com,https://www.ebay.com/shop/realme-gt7-pro?_nkw=realme+gt7+pro,true,TRUE,,false,Not required; the project owner recorded an exact TRUE/FALSE decision.,Individually reviewed by project owner on 2026-07-31; final decision recorded directly.,project_owner
64,P074,Realme GT 7 Pro 256 GB fiyat,,epey.com,https://www.epey.com/akilli-telefonlar/realme-gt-7-pro.html,false,TRUE?,ÜRÜN MODELİ DOĞRU AMA 256 GB DEĞİL 512 GB,true,"The listed product is the 512 GB variant, not the requested 256 GB variant.",Individually reviewed by project owner on 2026-07-31; uncertainty adjudicated against the frozen relevance rule.,project_owner_review_with_rule_based_adjudication
65,P074,Realme GT 7 Pro 256 GB fiyat,,klarna.com,https://www.klarna.com/us/shopping/pl/cl1/3388222658/Mobile-Phones/realme-GT-7-Pro-256GB-Galaxy-Grey,true,TRUE,,false,Not required; the project owner recorded an exact TRUE/FALSE decision.,Individually reviewed by project owner on 2026-07-31; final decision recorded directly.,project_owner
66,P074,Realme GT 7 Pro 256 GB fiyat,,m.gsmarena.com,https://m.gsmarena.com/realme_gt_7_pro-ampp-13470.php,true,TRUE,,false,Not required; the project owner recorded an exact TRUE/FALSE decision.,Individually reviewed by project owner on 2026-07-31; final decision recorded directly.,project_owner
67,P074,Realme GT 7 Pro 256 GB fiyat,,sahibinden.com,https://www.sahibinden.com/cep-telefonu-aksesuar-cep-telefonu-realme-gt-7-pro,false,TRUE?,BİRDEN FAZLA GT7 PRO İLANINI LİSTELİYOR AMA 512 GB LIK VERSİYONLARI GÖRDÜM.AŞAĞILARA DOĞRU İNDİKÇE BAŞKA MODELLER DE LİSTELENMİŞ,true,The visible marketplace listings do not establish the requested 256 GB variant.,Individually reviewed by project owner on 2026-07-31; uncertainty adjudicated against the frozen relevance rule.,project_owner_review_with_rule_based_adjudication
68,P074,Realme GT 7 Pro 256 GB fiyat,,vatanbilgisayar.com,https://www.vatanbilgisayar.com/realme-gt7-pro-12-512gb-galaksi-grisi-akilli-telefon.html,false,TRUE?,ÜRÜN MODELİ DOĞRU AMA 256 GB DEĞİL 512 GB,true,"The store page is explicitly for the 512 GB variant, not the requested 256 GB variant.",Individually reviewed by project owner on 2026-07-31; uncertainty adjudicated against the frozen relevance rule.,project_owner_review_with_rule_based_adjudication
69,P084,Motorola Edge 50 Ultra 512 GB fiyat,,akakce.com,"https://www.akakce.com/cep-telefonu/en-ucuz-motorola-edge-50-ultra-fiyati,637507356.html",false,TRUE?,DOĞRU ÜRÜN MODELİ AMA FİYAT BULUNAMADI YAZIYOR,true,The price-information page does not identify the requested 512 GB capacity; model match alone is insufficient under the frozen rule.,Individually reviewed by project owner on 2026-07-31; uncertainty adjudicated against the frozen relevance rule.,project_owner_review_with_rule_based_adjudication
70,P084,Motorola Edge 50 Ultra 512 GB fiyat,,ebay.com,https://www.ebay.com/shop/motorola-edge-50-ultra?_nkw=motorola+edge+50+ultra,false,TRUE?,"BİRDEN FAZLA SATILAN MOTOROLA MODELİNİ LİSTELİYOR AMA BİZİM İSTEDİĞİMİZ EDGE 50 3.LİSTELENEN ÜRÜN,İLK İKİSİ EDGE 70 VE 30",true,The visible marketplace results do not clearly establish a Motorola Edge 50 Ultra 512 GB listing.,Individually reviewed by project owner on 2026-07-31; uncertainty adjudicated against the frozen relevance rule.,project_owner_review_with_rule_based_adjudication
