product_id,product_name,brand,category,category_group,variant_label,selection_reason,source_url
SPO001,Efsane Kamp Medium 2 Odalı 10 Kişilik Aile Çadırı,Efsane Kamp,"Spor, Outdoor",spor_outdoor,10 Kişilik,"Spor, Outdoor - marka çeşitliliği için seçildi","https://www.akakce.com/cadir/en-ucuz-efsane-kamp-medium-10-kisilik-kamp-i-fiyati,464975497.html"
SPO002,Quechua MH100 XXL 4 Kişilik Çadır,Quechua,"Spor, Outdoor",spor_outdoor,4 Kişilik,"Spor, Outdoor - marka çeşitliliği için seçildi","https://www.akakce.com/cadir/en-ucuz-quechua-mh100-xxl-4-kisilik-fiyati,1006873516.html"
SBK001,Vichy Dercos Energy+ 400 ml Saç Dökülmesine Karşı Şampuan,Vichy,"Sağlık, Bakım, Kozmetik",saglik_bakim_kozmetik,400 ml,"Sağlık, Bakım, Kozmetik - marka çeşitliliği için seçildi","https://www.akakce.com/sampuan/en-ucuz-vichy-dercos-energisant-400-ml-dokulme-karsiti-fiyati,4735347.html"
SBK003,Bioxcin Forte 3x300 ml Saç Dökülmesine Karşı Şampuan,Bioxcin,"Sağlık, Bakım, Kozmetik",saglik_bakim_kozmetik,300 ml,"Sağlık, Bakım, Kozmetik - marka çeşitliliği için seçildi","https://www.akakce.com/sampuan/en-ucuz-bioxcin-forte-300-ml-3-al-2-ode-fiyati,1496322.html"
OBY001,Shell Helix Ultra Professional AG 5W-30 5 lt Motor Yağı,Shell,"Oto, Bahçe, Yapı Market",oto_bahce_yapi_market,5 W,"Oto, Bahçe, Yapı Market - marka çeşitliliği için seçildi","https://www.akakce.com/motor-yagi/en-ucuz-shell-helix-ultra-professional-ag-5w-30-5-lt-fiyati,487109151.html"
OBY002,Castrol Magnatec 10W-40 A3/B4 4 lt Motor Yağı,Castrol,"Oto, Bahçe, Yapı Market",oto_bahce_yapi_market,10 W,"Oto, Bahçe, Yapı Market - marka çeşitliliği için seçildi","https://www.akakce.com/motor-yagi/en-ucuz-castrol-magnatec-10w-40-a3-b4-4-lt-fiyati,93995.html"
PET001,Pro Plan Somonlu 10 kg Kısırlaştırılmış Yetişkin Kedi Maması,Pro Plan,Petshop,petshop,10 kg,Petshop - marka çeşitliliği için seçildi,"https://www.akakce.com/kedi-mamasi/en-ucuz-pro-plan-sterilised-somonlu-ve-ton-balikli-10-kg-kisirlastirilmis-yetiskin-kuru-fiyati,1562420.html"
PET002,Enjoy Tavuklu 15 kg Yetişkin Kedi Maması,Enjoy,Petshop,petshop,15 kg,Petshop - marka çeşitliliği için seçildi,"https://www.akakce.com/kedi-mamasi/en-ucuz-enjoy-tavuklu-15-kg-yetiskin-kuru-fiyati,5907259.html"
SPM001,Eti Burçak Sütlü Çikolatalı Bisküvi 114 gr,Eti,Süpermarket,supermarket,114 gr,Süpermarket - marka çeşitliliği için seçildi,"https://www.akakce.com/biskuvi/en-ucuz-eti-burcak-sutlu-cikolatali-114-gr-fiyati,405079779.html"
SPM003,Lotus Biscoff Karamelize Bisküvi 250 gr,Lotus,Süpermarket,supermarket,250 gr,Süpermarket - marka çeşitliliği için seçildi,"https://www.akakce.com/biskuvi/en-ucuz-lotus-biscoff-karamelize-250-gr-fiyati,495082365.html"
